"Gene.names","Protein.names","Organism","Length"
"BCL9","B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog)","Homo sapiens (Human)",1426
"CSF1R FMS","Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)","Homo sapiens (Human)",972
"CSNK2A3 CSNK2A1P","Casein kinase II subunit alpha 3 (CK II alpha 3) (EC 2.7.11.1) (Casein kinase II alpha 1 polypeptide pseudogene)","Homo sapiens (Human)",391
"BCL6 BCL5 LAZ3 ZBTB27 ZNF51","B-cell lymphoma 6 protein (BCL-6) (B-cell lymphoma 5 protein) (BCL-5) (Protein LAZ-3) (Zinc finger and BTB domain-containing protein 27) (Zinc finger protein 51)","Homo sapiens (Human)",706
"AKT1 PKB RAC","RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)","Homo sapiens (Human)",480
"CMC4 C6.1B MTCP1 MTCP1NB","Cx9C motif-containing protein 4 (Mature T-cell proliferation 1 neighbor protein) (Mature T-cell proliferation-1 type A) (MTCP-1 type A) (Protein p8 MTCP-1) (p8MTCP1)","Homo sapiens (Human)",68
"AGR2 AG2 UNQ515/PRO1030","Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog)","Homo sapiens (Human)",175
"FGF4 HST HSTF1 KS3","Fibroblast growth factor 4 (FGF-4) (Heparin secretory-transforming protein 1) (HST) (HST-1) (HSTF-1) (Heparin-binding growth factor 4) (HBGF-4) (Transforming protein KS3)","Homo sapiens (Human)",206
"CBL CBL2 RNF55","E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL)","Homo sapiens (Human)",906
"BCAS4","Breast carcinoma-amplified sequence 4","Homo sapiens (Human)",211
"FGFR2 BEK KGFR KSAM","Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)","Homo sapiens (Human)",821
"FUS TLS","RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)","Homo sapiens (Human)",526
"AKAP13 BRX HT31 LBC","A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)","Homo sapiens (Human)",2813
"BTG1","Protein BTG1 (B-cell translocation gene 1 protein)","Homo sapiens (Human)",171
"CCDC6 D10S170 TST1","Coiled-coil domain-containing protein 6 (Papillary thyroid carcinoma-encoded protein) (Protein H4)","Homo sapiens (Human)",474
"WNT1 INT1","Proto-oncogene Wnt-1 (Proto-oncogene Int-1 homolog)","Homo sapiens (Human)",370
"ZNF521 EHZF LIP3","Zinc finger protein 521 (Early hematopoietic zinc finger protein) (LYST-interacting protein 3)","Homo sapiens (Human)",1311
"BCL3 BCL4 D19S37","B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3)","Homo sapiens (Human)",454
"EPS15 AF1P","Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p)","Homo sapiens (Human)",896
"ETV6 TEL TEL1","Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel)","Homo sapiens (Human)",452
"AXL UFO","Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)","Homo sapiens (Human)",894
"ZNF320","Zinc finger protein 320","Homo sapiens (Human)",509
"MDS2","Myelodysplastic syndrome 2 translocation-associated protein","Homo sapiens (Human)",140
"NCKIPSD AF3P21 SPIN90","NCK-interacting protein with SH3 domain (54 kDa VacA-interacting protein) (54 kDa vimentin-interacting protein) (VIP54) (90 kDa SH3 protein interacting with Nck) (AF3p21) (Dia-interacting protein 1) (DIP-1) (Diaphanous protein-interacting protein) (SH3 adapter protein SPIN90) (WASP-interacting SH3-domain protein) (WISH) (Wiskott-Aldrich syndrome protein-interacting protein)","Homo sapiens (Human)",722
"TCTA","T-cell leukemia translocation-altered gene protein (T-cell leukemia translocation-associated gene protein)","Homo sapiens (Human)",103
"HRAS HRAS1","GTPase HRas (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]","Homo sapiens (Human)",189
"WDR11 BRWD2 KIAA1351 WDR15","WD repeat-containing protein 11 (Bromodomain and WD repeat-containing protein 2) (WD repeat-containing protein 15)","Homo sapiens (Human)",1224
"ZBTB16 PLZF ZNF145","Zinc finger and BTB domain-containing protein 16 (Promyelocytic leukemia zinc finger protein) (Zinc finger protein 145) (Zinc finger protein PLZF)","Homo sapiens (Human)",673
"ELL C19orf17","RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)","Homo sapiens (Human)",621
"DDIT3 CHOP CHOP10 GADD153","DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153)","Homo sapiens (Human)",169
"ALK","ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)","Homo sapiens (Human)",1620
"FGF3 INT2","Fibroblast growth factor 3 (FGF-3) (Heparin-binding growth factor 3) (HBGF-3) (Proto-oncogene Int-2)","Homo sapiens (Human)",239
"AKT2","RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)","Homo sapiens (Human)",481
"ZFYVE19 ANCHR MPFYVE","Abscission/NoCut checkpoint regulator (ANCHR) (MLL partner containing FYVE domain) (Zinc finger FYVE domain-containing protein 19)","Homo sapiens (Human)",471
"FAM83D C20orf129","Protein FAM83D (Spindle protein CHICA)","Homo sapiens (Human)",585
"GFI1B","Zinc finger protein Gfi-1b (Growth factor independent protein 1B) (Potential regulator of CDKN1A translocated in CML)","Homo sapiens (Human)",330
"MLLT11 AF1Q","Protein AF1q","Homo sapiens (Human)",90
"FOXO1 FKHR FOXO1A","Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma)","Homo sapiens (Human)",655
"ARHGEF12 KIAA0382 LARG","Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)","Homo sapiens (Human)",1544
"BRI3BP KG19","BRI3-binding protein (I3-binding protein) (Cervical cancer 1 proto-oncogene-binding protein KG19) (HCCRBP-1)","Homo sapiens (Human)",251
"ARAF ARAF1 PKS PKS2","Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)","Homo sapiens (Human)",606
"AFF1 AF4 FEL MLLT2 PBM1","AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)","Homo sapiens (Human)",1210
"MAFB KRML","Transcription factor MafB (Maf-B) (V-maf musculoaponeurotic fibrosarcoma oncogene homolog B)","Homo sapiens (Human)",323
"IL2","Interleukin-2 (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin)","Homo sapiens (Human)",153
"KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1","Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A) (EC 2.1.1.354) (ALL-1) (CXXC-type zinc finger protein 7) (Myeloid/lymphoid or mixed-lineage leukemia) (Myeloid/lymphoid or mixed-lineage leukemia protein 1) (Trithorax-like protein) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)]","Homo sapiens (Human)",3969
"LETMD1","LETM1 domain-containing protein 1 (Cervical cancer 1 proto-oncogene protein p40) (Cervical cancer proto-oncogene 2 protein) (HCCR-1) (HCRR-2)","Homo sapiens (Human)",360
